exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,ind,2012,9,Wood Products,45226266,trade_b_387
usa,ind,2012,10,Paper Goods,740540153,trade_b_388
usa,ind,2012,11,Textiles,259196278,trade_b_389
usa,ind,2012,12,Footwear and Headwear,7600884,trade_b_390
usa,ind,2012,13,Stone And Glass,126551669,trade_b_391
usa,ind,2012,14,Precious Metals,5501999954,trade_b_392
usa,ind,2012,15,Metals,1270344889,trade_b_393
usa,ind,2012,16,Machines,4497058619,trade_b_394
usa,ind,2012,17,Transportation,782969728,trade_b_395
usa,ind,2012,18,Instruments,1249436030,trade_b_396
usa,ind,2012,19,Weapons,16141668,trade_b_397
usa,ind,2012,20,Miscellaneous,102761503,trade_b_398
usa,ind,2012,21,Arts and Antiques,14036156,trade_b_399
usa,ind,2011,1,Animal Products,16049413,trade_b_400
usa,ind,2011,2,Vegetable Products,483371838,trade_b_401
usa,ind,2011,3,Animal and Vegetable Bi-Products,54411953,trade_b_402
usa,ind,2011,4,Foodstuffs,111948552,trade_b_403
usa,ind,2011,5,Mineral Products,2636335731,trade_b_404
usa,ind,2011,6,Chemical Products,3742692032,trade_b_405
usa,ind,2011,7,Plastics and Rubbers,1027829850,trade_b_406
usa,ind,2011,8,Animal Hides,18598945,trade_b_407
usa,ind,2011,9,Wood Products,38012804,trade_b_408
usa,ind,2011,10,Paper Goods,814417761,trade_b_409
usa,ind,2011,11,Textiles,260292371,trade_b_410
usa,ind,2011,12,Footwear and Headwear,8566409,trade_b_411
usa,ind,2011,13,Stone And Glass,108096056,trade_b_412
usa,ind,2011,14,Precious Metals,4310930860,trade_b_413
usa,ind,2011,15,Metals,1282606426,trade_b_414
usa,ind,2011,16,Machines,4616611112,trade_b_415
usa,ind,2011,17,Transportation,566123508,trade_b_416
usa,ind,2011,18,Instruments,1187904451,trade_b_417
usa,ind,2011,19,Weapons,1012768,trade_b_418
usa,ind,2011,20,Miscellaneous,83575988,trade_b_419
usa,ind,2011,21,Arts and Antiques,11735811,trade_b_420
usa,ind,2010,1,Animal Products,9794491,trade_b_421
usa,ind,2010,2,Vegetable Products,418706666,trade_b_422
